qid,query,query_length,query_type,preference,b_preference_ratio,prf_strength,representativeness,is_extreme,selection_score,top5_summary,top5_docnos
1037798,who is robert gray,4,factoid,PRF-Benefit,0.9302325581395348,Strong-Benefit,0.03910345073856623,False,0.3477344035512404,"[1] Score: 25.215
    Atlantic Ocean, United States. Robert Gray, (born May 10, 1755, Tiverton, R.I.—died summer 1806, at sea near eastern U.S. coast) captain of the first U.S. ship to circumnavigate the globe and explorer...

[2] Score: 23.799
    Captain Robert Gray carries the flag around the world on his sailing vessel (around the tip of South America, to China, and beyond). He discovered a great river and named it after his boat The Columbi...

[3] Score: 23.709
    Robert Gray was the Democratic candidate for governor of Mississippi in the 2015 elections. Gray won the Democratic primary on August 4, 2015, and was defeated by incumbent Governor Phil Bryant (R) in...

[4] Score: 23.174
    John Gray (U.S. author) John Gray (born December 28, 1951) is an American relationship counselor, lecturer and author. In 1969, he began a nine-year association with Maharishi Mahesh Yogi before begin...

[5] Score: 23.091
    George Gray (born March 11, 1967 in Ballwin, Missouri) is an American Game Show Host, announcer, and comedian. He attended High School in Tucson, Arizona and graduated from the University of Arizona, ...","8760871,7822415,8760866,2360252,3914692"
405717,is cdg airport in main paris,6,other,PRF-Benefit,0.9047619047619048,Strong-Benefit,0.029466237174467426,False,0.3336912567745489,"[1] Score: 26.071
    Roissy - Charles de Gaulle airport (CDG) is the main international airport for Paris, and the second busiest airport in Europe after London Heathrow. The two main terminals are Terminal 1, used by mos...

[2] Score: 25.295
    Paris Charles de Gaulle Airport (CDG) is one of the busiest passenger airports in Europe and is the larger of Paris' two airports... Charles de Gaulle Airport is 14 miles (23 kilometers) northeast of ...

[3] Score: 25.138
    - Charles De Gaulle International Airport (CDG) in Paris. CDG is the IATA code for the airport, LFPG is the ICAO code. Airlines and flights can be found on en.wikipedia.org/wiki/Charles_de_Gaulle_Inte...

[4] Score: 25.054
    Paris Paris CDG Airport Terminal 1 F. Paris Charles de Gaulle Airport is a vast airport northeast of Paris. It's big - really big - with 60 million passengers a year, and the dominant of the three Par...

[5] Score: 24.684
    There isn't all that much shopping at Paris CDG Airport - most of it is at Roissypôle, a shopping centre at the outskirts of the airport. It has the airline offices and and a Hilton hotel too. A free ...","8433854,2702419,4828118,3033900,3033904"
451602,medicare's definition of mechanical ventilation,5,definition,PRF-Hurt,0.392156862745098,Moderate-Hurt,0.06190225084798493,False,0.2678981552411548,"[1] Score: 23.469
    Medical Definition of Mechanical ventilation. Mechanical ventilation: Use of a machine called a ventilator or respirator to improve the exchange of air between the lungs and the atmosphere. Last Edito...

[2] Score: 22.727
    Mechanical ventilation is the medical term for artificial ventilation where mechanical means is used to assist or replace spontaneous breathing....

[3] Score: 22.481
    Mechanical ventilation is the use of a mechanical device (machine) to inflate and deflate the lungs. Mechanical ventilation provides the force needed to deliver air to the lungs in a patient whose own...

[4] Score: 22.455
    Mechanical ventilation may be defined as the use of a mechanical device to provide. ventilator support for patients. There are 2 types of mechanical ventilation: positive and. negative pressure ventil...

[5] Score: 22.424
    Mechanical ventilation. For the use in architecture and climate control, see Ventilation (architecture). Mechanical ventilation is the medical term for artificial ventilation where mechanical means is...","5179251,8390518,8383461,3177691,5475308"
443396,lps laws definition,3,definition,PRF-Benefit,0.8064516129032258,Strong-Benefit,0.032981782837968876,False,0.25577335829647785,"[1] Score: 26.089
    LPS Act. LPS Act. a California law named for sponsors of the legislation (Lanterman, Petris, and Short) that provides for the protection and treatment of persons judged to be gravely disabled and thus...

[2] Score: 23.522
    (Redirected from Lanterman-Petris-Short Act) The Lanterman–Petris–Short (LPS) Act (Cal. Welf & Inst. Code, sec. 5000 et seq.) concerns the involuntary civil commitment to a mental health institution i...

[3] Score: 23.055
    The California Mental Health Act (Sections 5000 to 8000 of the Welfare and. Institutions Code), also known as the LPS Act, begins by promoting the. legislative intent: • Most important was: to end the...

[4] Score: 22.842
    Lipopolysaccharide (LPS) is the major component of the outer leaflet of the outer membrane of Gram-negative bacteria. The LPS molecule is composed of two biosynthetic entities: the lipid A-core and th...

[5] Score: 22.718
    Corporate law. A limited partnership (LP) is a form of partnership similar to a general partnership, except that where a general partnership must have at least two general partners (GPs), a limited pa...","8536118,8536123,8536122,119472,4052112"
87452,causes of military suicide,4,other,PRF-Hurt,0.3333333333333333,Moderate-Hurt,0.04884926655296502,False,0.24620637328785272,"[1] Score: 25.337
    Combat Fatalities not the Most Common Cause of Military Deaths. Suicide was the third leading cause of Canadian military deaths after motor vehicle accidents and cancerin a newly published study of 25...

[2] Score: 24.445
    Suicide surpassed war as the military's leading cause of death. War was the leading cause of death in the military nearly every year between 2004 and 2011 until suicides became the top means of dying ...

[3] Score: 24.294
    Suicide surpassed war as the military's leading cause of death. War was the leading cause of death in the military nearly every year between 2004 and 2011 until suicides became the top means dying for...

[4] Score: 24.206
    Military and civilian fatalities. According to WHO World health report 2004, deaths from intentional injuries (including war, violence, and suicide) were estimated to be 2.8% of all deaths. In the sam...

[5] Score: 24.138
    Then, as the two stood just steps apart, Michael saluted, raised a gun to his head and pulled the trigger. Suicide Is Now the Leading Cause of Death Amongst Active-Duty Soldiers. In 2010, for the seco...","186939,8819116,8333919,8081937,8819112"
87181,causes of left ventricular hypertrophy,5,other,Neutral,0.4367816091954023,Neutral,0.04125603868712167,False,0.24178977179668776,"[1] Score: 26.938
    Left ventricular hypertrophy is a thickening of the wall of the heart's main pumping chamber. This thickening may result in elevation of pressure within the heart and sometimes poor pumping action. Th...

[2] Score: 26.603
    Left ventricular hypertrophy is thought to be the leading cause of sudden cardiac death in the adult population. This is most commonly the result of longstanding high blood pressure which has caused s...

[3] Score: 26.330
    Left ventricular hypertrophy can occur when some factor makes your heart work harder than normal to pump blood to your body. Factors that can cause your heart to work harder include: High blood pressu...

[4] Score: 26.325
    Left ventricular hypertrophy (LVH) occurs when the muscle tissue in the heart’s main pumping chamber becomes enlarged. LVH is often caused by high blood pressure or other heart problems and can lead t...

[5] Score: 25.319
    Left ventricular hypertrophy can occur as an inborn disease in infants and children, due to an underlying condition known as hypertrophic cardiomyopathy. Hypertrophic cardiomyopathy or HCM is a heredi...","6484576,8565420,6521366,8534134,8683183"
1115776,what is an aml surveillance analyst,6,factoid,PRF-Hurt,0.3529411764705882,Moderate-Hurt,0.05315719910736006,False,0.2400864090547088,"[1] Score: 26.364
    AML Analysts are responsible for detecting and monitoring suspicious transactions in an effort to prevent money laundering. A typical AML Analyst resume usually describes duties such as implementing a...

[2] Score: 25.790
    The BSA / AML Analyst is responsible for monitoring and investigating customer transactions under applicable anti-money laundering and anti-terrorist financing laws....

[3] Score: 24.002
    Team Lead AML Analyst. 1  Promoted to team leader responsible for training new AML hires on complying with company’s due diligence procedures and regulatory mandates. 2  Initiated, processed, closed, ...

[4] Score: 23.370
    The BSA/AML Analyst II is responsible for assisting with anti-money laundering and compliance initiatives. Three (3) to five (5) years of BSA related experience is required. southeastapply.com...

[5] Score: 23.320
    Be the first to see new Aml Surveillance Analyst jobs My email: Also get an email with jobs recommended just for me Anti Money Laundering Analyst salaries in United States...","8106321,4314176,8106320,4314174,8106324"
19335,anthropological definition of environment,4,definition,PRF-Benefit,0.6181818181818182,Moderate-Benefit,0.06190225084798493,False,0.23203362761192128,"[1] Score: 26.534
    Definition of environment - the surroundings or conditions in which a person, animal, or plant lives or operates, the natural world, as a whole or in a partic Definition of environment - the surroundi...

[2] Score: 26.396
    Definition of environment: The sum total of all surroundings of a living organism, including natural forces and other living things, which provide conditions for development and growth as well as of d...

[3] Score: 26.293
    1 Meaning of environment. Environment means everything around to a living being. Especially the circumstances of life of people or society in their life conditions. It comprises the set of natural, so...

[4] Score: 26.290
    Definition of Environment. Environment: The sum of the total of the elements, factors and conditions in the surroundings which may have an impact on the development, action or survival of an organism ...

[5] Score: 26.244
    Definition of Environment. Environment: The sum of the total of the elements, factors and conditions in the surroundings which may have an impact on the development, action or survival of an organism ...","2304005,772234,6512137,1720395,1720389"
1117099,what is a active margin,5,factoid,Neutral,0.4912280701754385,Neutral,0.062108513704952885,False,0.22835217741180575,"[1] Score: 26.932
    Best Answer: An active margin is a tectonic plate boundary, a passive margin is a compositional transition within a tectonic plate. As you probably know the theory of plate tectonics posits the outer ...

[2] Score: 26.244
    An active continental margin refers to the submerged edge of a continent overriding an oceanic lithosphere at a convergent plate boundary by opposition with a passive continental margin which is the r...

[3] Score: 25.470
    An active plate margin is an actual plate boundary, where oceanic crust and continental crust crash into each other. Active plate margins are often the site of earthquakes and volcanoes. Oceanic crust...

[4] Score: 25.439
    Active continental margin: A continental margin that has a very narrow, or even nonexistent, continental shelf and a narrow and steep continental slope that ends in a deep trench instead of a continen...

[5] Score: 24.877
    An active continental margin is found on the leading edge of the continent where it is crashing into an oceanic plate. An excellent example is the west coast of South America. Active margins are commo...","6122722,8446505,3543106,8093934,8446501"
1124210,tracheids are part of _____.,5,other,Neutral,0.5131578947368421,Neutral,0.05768494150752342,False,0.22833713449774623,"[1] Score: 24.062
    The xylem tracheary elements consist of cells known as tracheids and vessel members, both of which are typically narrow, hollow, and elongated. Tracheids are less specialized than the vessel members a...

[2] Score: 23.995
    Tracheids and vessel members are referred to as tracheary elements. Phloem vascular tissue contains parenchyma and has two types of cells that assist in the transport of food: sieve-tube members and s...

[3] Score: 23.907
    Its major components include xylem parenchyma, xylem fibers, tracheids, and xylem vessels. Tracheids are one of the two types of tracheary elements of vascular plants. (The other being the vessel elem...

[4] Score: 23.503
    Difference Between Tracheids and Vessels In plants xylem and phloem are the complex tissues which are the components parts of conductive system. In higher plants xylem contains tracheids, vessels (tra...

[5] Score: 22.999
    Tracheids and vessel elements form tube-shaped structures that provide pathways for water and minerals to travel from the roots to the leaves. While tracheids are found in all vascular plants, vessels...","2728448,2089544,8026737,8026735,2494577"
