qid,query,rank,docno,score,passage_text
131843,definition of a sigmet,1,8305152,28.22250747680664,"Definition of SIGMET. plural. SIGMETs. also. sigmets. : a notice of significant hazardous weather conditions (such as extreme turbulence, icing, or poor visibility) in a large area that is provided to the pilot of an aircraft before takeoff — compare airmet."
131843,definition of a sigmet,2,8305153,25.97040557861328,"SIGMET, or Significant Meteorological Information, is a weather advisory that contains meteorological information concerning the safety of all aircraft. There are two types of SIGMETs, convective and non-convective."
131843,definition of a sigmet,3,8305156,25.51105690002441,"SIGMET, or Significant Meteorological Information, is a weather advisory that contains meteorological information concerning the safety of all aircraft. There are two types of SIGMETs - convective and non-convective. The criteria for a non-convective SIGMET to be issued are severe or greater turbulence over a area, severe or greater icing over a area or IMC over a area due to dust, sand, or volcanic ash."
131843,definition of a sigmet,4,8305158,25.14522171020508,"SIGMET, or Significant Meteorological Information, is a weather advisory that contains meteorological information concerning the safety of all aircraft. There are two types of SIGMETs - convective and non-convective. The criteria for a non-convective SIGMET to be issued are severe or greater turbulence over a 3,000-square-mile (7,800 km2) area, severe or greater icing over a 3,000-square-mile (7,800 km2) area or IMC over a 3,000-square-mile (7,800 km2) area due to dust, sand, or volcanic ash."
131843,definition of a sigmet,5,8456964,24.22383499145508,"Medical Definition of Sigmoid. Sigmoid: In human anatomy, the lower colon (the lower portion of the large bowel). Sigmoid is short for sigmoid colon. From the Greek letter sigma, which is shaped like a C. Sigmoid also means curved in two directions like the letter S. For example, a sigmoid curve is an S-shaped curve. Search MedTerms:"
1037798,who is robert gray,1,8760871,25.21518898010254,"Atlantic Ocean, United States. Robert Gray, (born May 10, 1755, Tiverton, R.I.—died summer 1806, at sea near eastern U.S. coast) captain of the first U.S. ship to circumnavigate the globe and explorer of the Columbia River."
1037798,who is robert gray,2,7822415,23.798912048339844,"Captain Robert Gray carries the flag around the world on his sailing vessel (around the tip of South America, to China, and beyond). He discovered a great river and named it after his boat The Columbia. His discovery was the basis of America's claim to the Oregon Territory."
1037798,who is robert gray,3,8760866,23.7094841003418,"Robert Gray was the Democratic candidate for governor of Mississippi in the 2015 elections. Gray won the Democratic primary on August 4, 2015, and was defeated by incumbent Governor Phil Bryant (R) in the general election on November 3, 2015. Gray is a truck driver and former firefighter. He gained national attention for admitting that he did not vote in the August 4, 2015, primary, saying, I was in Jackson and had to do a lot of stuff and just lost track of time, to tell you the truth.. Gray made the following statement about his primary victory:"
1037798,who is robert gray,4,2360252,23.1744441986084,"John Gray (U.S. author) John Gray (born December 28, 1951) is an American relationship counselor, lecturer and author. In 1969, he began a nine-year association with Maharishi Mahesh Yogi before beginning his career as an author and personal relationship counselor."
1037798,who is robert gray,5,3914692,23.09113502502441,"George Gray (born March 11, 1967 in Ballwin, Missouri) is an American Game Show Host, announcer, and comedian. He attended High School in Tucson, Arizona and graduated from the University of Arizona, during which time he played drums with a local band named The Reason Why with two of his friends."
1110199,what is wifi vs bluetooth,1,1901879,25.08841133117676,"Wi-Fi and Bluetooth are to some extent complementary in their applications and usage. Wi-Fi is usually access point-centered, with an asymmetrical client-server connection with all traffic routed through the access point, while Bluetooth is usually symmetrical, between two Bluetooth devices."
1110199,what is wifi vs bluetooth,2,8160519,24.71747779846192,"Bluetooth and WiFi are different standards for wireless communication. Bluetooth technology is useful when transferring information between two or more devices that are near each other when speed is not an issue, such as telephones, printers, modems and headsets."
1110199,what is wifi vs bluetooth,3,4511137,24.54452896118164,"The choice of Bluetooth or WiFi is clear. Bluetooth is a universal standard and easy to use. But, its range is quite limited and sound quality is restricted. WiFi systems have a wider range and can offer excellent fidelity. But, different systems that use WiFi are incompatible, and setup may be difficult."
1110199,what is wifi vs bluetooth,4,8160520,24.369888305664062,"Bluetooth vs. WiFi - Range: Maximum range for Bluetooth based wireless connections is 30m while for Wi-Fi, it can extend well upto 100m. In Wi-Fi, range depends on the version of Wi-Fi protocol applied and addition of antennas in the communication system while no such concerns of range or extra antenna are much known in Bluetooth. . Bluetooth vs. WiFi - Devices Connected: In Bluetooth, upto 7 devices can be connected to each other (piconet) while in Wi-Fi, the maximum connections depend on Wi-Fi router which can accommodate 1 to several communicating devices at a time."
1110199,what is wifi vs bluetooth,5,1901876,23.954395294189453,"Stockbyte/Stockbyte/Getty Images. Bluetooth and Wi-Fi are both wireless networking technologies. They transmit information via radio signals broadcast through the air rather than over wires, allowing devices to communicate with each other and share information."
855410,what is theraderm used for,1,8651771,23.618099212646484,"The main ingredient in this Theraderm cream is lanolin, which is a chemical obtained from sheep’s wool. Lanolin is often used in skin care products because of its ability to boost the natural moisture barrier, as well as the ability to draw moisture to the application site."
855410,what is theraderm used for,2,8651770,22.959152221679688,"Theraderm is a manufacturer of clinical-grade skin care products, including anti-aging creams and moisturizers, as well as an acne system under an alternate brand: Reversion. The company was founded in 1996 by James Beckman, M.D., and is headquartered in Springdale, Arkansas."
