qid,prompt_name,top_k,run_idx,response,parsed,model
19335,coverage,3,0,Adequate,Hurt,Qwen3-8B
19335,coverage,3,1,Adequate,Hurt,Qwen3-8B
19335,coverage,3,2,Adequate,Hurt,Qwen3-8B
19335,coverage,3,3,Adequate,Hurt,Qwen3-8B
19335,coverage,3,4,Adequate,Hurt,Qwen3-8B
47923,coverage,3,0,Adequate,Hurt,Qwen3-8B
47923,coverage,3,1,Adequate,Hurt,Qwen3-8B
47923,coverage,3,2,Adequate,Hurt,Qwen3-8B
47923,coverage,3,3,Adequate,Hurt,Qwen3-8B
47923,coverage,3,4,Adequate,Hurt,Qwen3-8B
87181,coverage,3,0,Adequate,Hurt,Qwen3-8B
87181,coverage,3,1,Adequate,Hurt,Qwen3-8B
87181,coverage,3,2,Adequate,Hurt,Qwen3-8B
87181,coverage,3,3,Adequate,Hurt,Qwen3-8B
87181,coverage,3,4,Adequate,Hurt,Qwen3-8B
87452,coverage,3,0,Adequate,Hurt,Qwen3-8B
87452,coverage,3,1,Adequate,Hurt,Qwen3-8B
87452,coverage,3,2,Adequate,Hurt,Qwen3-8B
87452,coverage,3,3,Adequate,Hurt,Qwen3-8B
87452,coverage,3,4,Adequate,Hurt,Qwen3-8B
104861,coverage,3,0,Expand,Benefit,Qwen3-8B
104861,coverage,3,1,Expand,Benefit,Qwen3-8B
104861,coverage,3,2,Expand,Benefit,Qwen3-8B
104861,coverage,3,3,Expand,Benefit,Qwen3-8B
104861,coverage,3,4,Expand,Benefit,Qwen3-8B
130510,coverage,3,0,Adequate,Hurt,Qwen3-8B
130510,coverage,3,1,Adequate,Hurt,Qwen3-8B
130510,coverage,3,2,Adequate,Hurt,Qwen3-8B
130510,coverage,3,3,Adequate,Hurt,Qwen3-8B
130510,coverage,3,4,Adequate,Hurt,Qwen3-8B
131843,coverage,3,0,Adequate,Hurt,Qwen3-8B
131843,coverage,3,1,Adequate,Hurt,Qwen3-8B
131843,coverage,3,2,Adequate,Hurt,Qwen3-8B
