qid,query,query_length,query_type,preference,b_preference_ratio,prf_strength,representativeness,is_extreme,selection_score,top5_summary,top5_docnos
855410,what is theraderm used for,5,factoid,PRF-Hurt,0.0,Strong-Hurt,0.09378681522453523,True,0.4375147260898141,"[1] Score: 23.618
    The main ingredient in this Theraderm cream is lanolin, which is a chemical obtained from sheep’s wool. Lanolin is often used in skin care products because of its ability to boost the natural moisture...

[2] Score: 22.959
    Theraderm is a manufacturer of clinical-grade skin care products, including anti-aging creams and moisturizers, as well as an acne system under an alternate brand: Reversion. The company was founded i...

[3] Score: 21.855
    A thermopile is a thermoelectric device that consists of an array of thermocouples connected in series. It is widely used in non-contact temperature measurement applications and temperature monitoring...

[4] Score: 21.643
    A theraband is a latex resistance band or tube that is used for physical therapy and light strength training exercise. They are also commonly used by athletes, specifically dancers, to strengthen and ...

[5] Score: 21.591
    A thermometer is a device used to measure temperature. A thermometer is used in health care to measure and monitor body temperature. In an office, hospital or other health care facility, it allows a c...","8651771,8651770,6933293,2117094,1819434"
131843,definition of a sigmet,4,definition,PRF-Benefit,0.9615384615384616,Strong-Benefit,0.11572848230426276,True,0.3909067775370898,"[1] Score: 28.223
    Definition of SIGMET. plural. SIGMETs. also. sigmets. : a notice of significant hazardous weather conditions (such as extreme turbulence, icing, or poor visibility) in a large area that is provided to...

[2] Score: 25.970
    SIGMET, or Significant Meteorological Information, is a weather advisory that contains meteorological information concerning the safety of all aircraft. There are two types of SIGMETs, convective and ...

[3] Score: 25.511
    SIGMET, or Significant Meteorological Information, is a weather advisory that contains meteorological information concerning the safety of all aircraft. There are two types of SIGMETs - convective and...

[4] Score: 25.145
    SIGMET, or Significant Meteorological Information, is a weather advisory that contains meteorological information concerning the safety of all aircraft. There are two types of SIGMETs - convective and...

[5] Score: 24.224
    Medical Definition of Sigmoid. Sigmoid: In human anatomy, the lower colon (the lower portion of the large bowel). Sigmoid is short for sigmoid colon. From the Greek letter sigma, which is shaped like ...","8305152,8305153,8305156,8305158,8456964"
1037798,who is robert gray,4,factoid,PRF-Benefit,0.9302325581395348,Strong-Benefit,0.03910345073856623,False,0.3477344035512404,"[1] Score: 25.215
    Atlantic Ocean, United States. Robert Gray, (born May 10, 1755, Tiverton, R.I.—died summer 1806, at sea near eastern U.S. coast) captain of the first U.S. ship to circumnavigate the globe and explorer...

[2] Score: 23.799
    Captain Robert Gray carries the flag around the world on his sailing vessel (around the tip of South America, to China, and beyond). He discovered a great river and named it after his boat The Columbi...

[3] Score: 23.709
    Robert Gray was the Democratic candidate for governor of Mississippi in the 2015 elections. Gray won the Democratic primary on August 4, 2015, and was defeated by incumbent Governor Phil Bryant (R) in...

[4] Score: 23.174
    John Gray (U.S. author) John Gray (born December 28, 1951) is an American relationship counselor, lecturer and author. In 1969, he began a nine-year association with Maharishi Mahesh Yogi before begin...

[5] Score: 23.091
    George Gray (born March 11, 1967 in Ballwin, Missouri) is an American Game Show Host, announcer, and comedian. He attended High School in Tucson, Arizona and graduated from the University of Arizona, ...","8760871,7822415,8760866,2360252,3914692"
405717,is cdg airport in main paris,6,other,PRF-Benefit,0.9047619047619048,Strong-Benefit,0.029466237174467426,False,0.3336912567745489,"[1] Score: 26.071
    Roissy - Charles de Gaulle airport (CDG) is the main international airport for Paris, and the second busiest airport in Europe after London Heathrow. The two main terminals are Terminal 1, used by mos...

[2] Score: 25.295
    Paris Charles de Gaulle Airport (CDG) is one of the busiest passenger airports in Europe and is the larger of Paris' two airports... Charles de Gaulle Airport is 14 miles (23 kilometers) northeast of ...

[3] Score: 25.138
    - Charles De Gaulle International Airport (CDG) in Paris. CDG is the IATA code for the airport, LFPG is the ICAO code. Airlines and flights can be found on en.wikipedia.org/wiki/Charles_de_Gaulle_Inte...

[4] Score: 25.054
    Paris Paris CDG Airport Terminal 1 F. Paris Charles de Gaulle Airport is a vast airport northeast of Paris. It's big - really big - with 60 million passengers a year, and the dominant of the three Par...

[5] Score: 24.684
    There isn't all that much shopping at Paris CDG Airport - most of it is at Roissypôle, a shopping centre at the outskirts of the airport. It has the airline offices and and a Hilton hotel too. A free ...","8433854,2702419,4828118,3033900,3033904"
148538,difference between rn and bsn,5,other,PRF-Benefit,0.7333333333333333,Strong-Benefit,0.01556580899443689,True,0.2995596569311081,"[1] Score: 27.091
    Difference Between Rn and Bsn. RN vs BSN. RN is a Registered Nurse, and is a health care specialist who uses her learned nursing practices and processes to take care of an ailing person. A Registered ...

[2] Score: 27.007
    Cancel. The difference between an RN and a BSN is that an RN is a title for a registered nurse, while a BSN stands for a Bachelor of Science in nursing. Learn about the differences between degrees and...

[3] Score: 25.169
    What Is the Difference Between RN and BSN Degrees? A registered nurse (RN) is a nurse who has passed the National Council Licensure Examination for Registered Nurses (NCLEX-RN) after completing an acc...

[4] Score: 24.930
    RN vs BSN: Whats the Difference? The RN vs BSN is a common debate. Both allow you to work as a registered nurse, but what is the benefit and difference of getting a BSN versus RN. RN (registered nurse...

[5] Score: 24.346
    So first of all, you should know RN stands for Registered Nurse. And BSN stands for Bachelors of Science and Nursing. So right off the by, you see there's a difference. The BSN is a degree that you ge...","8283532,7407803,231455,985491,7407812"
104861,cost of interior concrete flooring,5,other,PRF-Benefit,0.7125,Strong-Benefit,0.024061604890285228,True,0.29462464195611415,"[1] Score: 25.098
    Even though each project is unique, interior building finishes for commercial buildings typically fall in an. average cost per square foot range. $5-$10 per square foot for standard flooring, $5-$7 pe...

[2] Score: 24.071
    We pour a lot of 3000 psi. concrete for interior concrete floors and 4000 psi concrete for exterior concrete. The concrete cost per yard of concrete is $92.00 for 3000 3/4 psi concrete and $100.00 for...

[3] Score: 23.252
    How Much Does an Interior Door Cost? Typical costs: Prices start at about $20-$100 for a no-frills, interior door slab (no frame or hardware) or $40-$150 for one pre-hung in a frame with hardware inst...

[4] Score: 23.162
    for commercial concrete floors the cost is anywhere from $ 50 $ 1 00 dollar per sq ft more if you re trying to figure what the cost for concrete flooring is in your area i would suggest calling a loca...

[5] Score: 23.063
    The cost of the flooring, which ranges from about $4.50 per square foot and up. The cost of labor which typically runs between $3.00 to $5.00 per square foot....","2497738,5703400,6124839,5138474,442613"
1110199,what is wifi vs bluetooth,5,factoid,PRF-Benefit,0.6296296296296297,Moderate-Benefit,0.07825209986883414,True,0.2831526917993855,"[1] Score: 25.088
    Wi-Fi and Bluetooth are to some extent complementary in their applications and usage. Wi-Fi is usually access point-centered, with an asymmetrical client-server connection with all traffic routed thro...

[2] Score: 24.717
    Bluetooth and WiFi are different standards for wireless communication. Bluetooth technology is useful when transferring information between two or more devices that are near each other when speed is n...

[3] Score: 24.545
    The choice of Bluetooth or WiFi is clear. Bluetooth is a universal standard and easy to use. But, its range is quite limited and sound quality is restricted. WiFi systems have a wider range and can of...

[4] Score: 24.370
    Bluetooth vs. WiFi - Range: Maximum range for Bluetooth based wireless connections is 30m while for Wi-Fi, it can extend well upto 100m. In Wi-Fi, range depends on the version of Wi-Fi protocol applie...

[5] Score: 23.954
    Stockbyte/Stockbyte/Getty Images. Bluetooth and Wi-Fi are both wireless networking technologies. They transmit information via radio signals broadcast through the air rather than over wires, allowing ...","1901879,8160519,4511137,8160520,1901876"
1112341,what is the daily life of thai people,8,factoid,PRF-Hurt,0.1071428571428571,Strong-Hurt,0.11490728365825945,True,0.28310577060616093,"[1] Score: 25.393
    The following concepts are part of Thai everyday life: ใจเย็น or JAI YEN is more a way of life, it is to keep your temper whatever the situation....

[2] Score: 24.450
    The Daily Life of a Thai Monk The Sangha World in Thailand consists of about 200,000 monks and 85,000 novices at most times of the year. However, these numbers increase during the Buddhist lent to 300...

[3] Score: 23.656
    Pay someone for a months work here and they will take 6-7 days off during that month. Pay them by the day and for a days work and they will show up every day without fail. So what does the average Tha...

[4] Score: 23.263
    An important thing in everyday life is SANUK. Thai people love to have fun together. SANUK can represent many things : eat together, to be with friends and chat, to go out with friends. For Thai peopl...

[5] Score: 23.245
    T he following concepts are part of Thai everyday life: ใจเย็น or JAI YEN is more a way of life, it is to keep your temper whatever the situation. T hai people are educated in the family and in school...","8139257,8606160,4022846,8139255,8139258"
451602,medicare's definition of mechanical ventilation,5,definition,PRF-Hurt,0.392156862745098,Moderate-Hurt,0.06190225084798493,False,0.2678981552411548,"[1] Score: 23.469
    Medical Definition of Mechanical ventilation. Mechanical ventilation: Use of a machine called a ventilator or respirator to improve the exchange of air between the lungs and the atmosphere. Last Edito...

[2] Score: 22.727
    Mechanical ventilation is the medical term for artificial ventilation where mechanical means is used to assist or replace spontaneous breathing....

[3] Score: 22.481
    Mechanical ventilation is the use of a mechanical device (machine) to inflate and deflate the lungs. Mechanical ventilation provides the force needed to deliver air to the lungs in a patient whose own...

[4] Score: 22.455
    Mechanical ventilation may be defined as the use of a mechanical device to provide. ventilator support for patients. There are 2 types of mechanical ventilation: positive and. negative pressure ventil...

[5] Score: 22.424
    Mechanical ventilation. For the use in architecture and climate control, see Ventilation (architecture). Mechanical ventilation is the medical term for artificial ventilation where mechanical means is...","5179251,8390518,8383461,3177691,5475308"
1114646,what is famvir prescribed for,5,factoid,Neutral,0.5686274509803921,Neutral,0.07512047214239596,True,0.25749916924911526,"[1] Score: 24.363
    Famciclovir (Famvir) is a drug used for the treatment of genital herpes, cold sores, shingles, and chickenpox. Side effects, drug interactions, warnings and precautions, and pregnancy information shou...

[2] Score: 24.143
    Famciclovir (Famvir®) is a prescription antiviral medication used to treat the following conditions: Herpes simplex infections (including cold sores and genital herpes) in people with HIV or other con...

[3] Score: 23.936
    Famciclovir (Famvir) is sometimes used to treat the herpes virus that causes cold sores and genital herpes (as well as the virus that causes shingles). This medicine is available only by prescription ...

[4] Score: 23.687
    Famvir (Famciclovir) is approved by the FDA for the treatment of cold sores. If started at the first sign of symptoms, taking a single high dose of Famvir can shorten the herpes infection by two days....

[5] Score: 23.477
    Famciclovir (Famvir®) is a prescription antiviral medication used to treat the following conditions: Shingles in people with normal immune systems. Recurring genital herpes in people with normal immun...","5279567,8117090,2647994,6704400,8117091"
443396,lps laws definition,3,definition,PRF-Benefit,0.8064516129032258,Strong-Benefit,0.032981782837968876,False,0.25577335829647785,"[1] Score: 26.089
    LPS Act. LPS Act. a California law named for sponsors of the legislation (Lanterman, Petris, and Short) that provides for the protection and treatment of persons judged to be gravely disabled and thus...

[2] Score: 23.522
    (Redirected from Lanterman-Petris-Short Act) The Lanterman–Petris–Short (LPS) Act (Cal. Welf & Inst. Code, sec. 5000 et seq.) concerns the involuntary civil commitment to a mental health institution i...

[3] Score: 23.055
    The California Mental Health Act (Sections 5000 to 8000 of the Welfare and. Institutions Code), also known as the LPS Act, begins by promoting the. legislative intent: • Most important was: to end the...

[4] Score: 22.842
    Lipopolysaccharide (LPS) is the major component of the outer leaflet of the outer membrane of Gram-negative bacteria. The LPS molecule is composed of two biosynthetic entities: the lipid A-core and th...

[5] Score: 22.718
    Corporate law. A limited partnership (LP) is a form of partnership similar to a general partnership, except that where a general partnership must have at least two general partners (GPs), a limited pa...","8536118,8536123,8536122,119472,4052112"
87452,causes of military suicide,4,other,PRF-Hurt,0.3333333333333333,Moderate-Hurt,0.04884926655296502,False,0.24620637328785272,"[1] Score: 25.337
    Combat Fatalities not the Most Common Cause of Military Deaths. Suicide was the third leading cause of Canadian military deaths after motor vehicle accidents and cancerin a newly published study of 25...

[2] Score: 24.445
    Suicide surpassed war as the military's leading cause of death. War was the leading cause of death in the military nearly every year between 2004 and 2011 until suicides became the top means of dying ...

[3] Score: 24.294
    Suicide surpassed war as the military's leading cause of death. War was the leading cause of death in the military nearly every year between 2004 and 2011 until suicides became the top means dying for...

[4] Score: 24.206
    Military and civilian fatalities. According to WHO World health report 2004, deaths from intentional injuries (including war, violence, and suicide) were estimated to be 2.8% of all deaths. In the sam...

[5] Score: 24.138
    Then, as the two stood just steps apart, Michael saluted, raised a gun to his head and pulled the trigger. Suicide Is Now the Leading Cause of Death Amongst Active-Duty Soldiers. In 2010, for the seco...","186939,8819116,8333919,8081937,8819112"
87181,causes of left ventricular hypertrophy,5,other,Neutral,0.4367816091954023,Neutral,0.04125603868712167,False,0.24178977179668776,"[1] Score: 26.938
    Left ventricular hypertrophy is a thickening of the wall of the heart's main pumping chamber. This thickening may result in elevation of pressure within the heart and sometimes poor pumping action. Th...

[2] Score: 26.603
    Left ventricular hypertrophy is thought to be the leading cause of sudden cardiac death in the adult population. This is most commonly the result of longstanding high blood pressure which has caused s...

[3] Score: 26.330
    Left ventricular hypertrophy can occur when some factor makes your heart work harder than normal to pump blood to your body. Factors that can cause your heart to work harder include: High blood pressu...

[4] Score: 26.325
    Left ventricular hypertrophy (LVH) occurs when the muscle tissue in the heart’s main pumping chamber becomes enlarged. LVH is often caused by high blood pressure or other heart problems and can lead t...

[5] Score: 25.319
    Left ventricular hypertrophy can occur as an inborn disease in infants and children, due to an underlying condition known as hypertrophic cardiomyopathy. Hypertrophic cardiomyopathy or HCM is a heredi...","6484576,8565420,6521366,8534134,8683183"
1115776,what is an aml surveillance analyst,6,factoid,PRF-Hurt,0.3529411764705882,Moderate-Hurt,0.05315719910736006,False,0.2400864090547088,"[1] Score: 26.364
    AML Analysts are responsible for detecting and monitoring suspicious transactions in an effort to prevent money laundering. A typical AML Analyst resume usually describes duties such as implementing a...

[2] Score: 25.790
    The BSA / AML Analyst is responsible for monitoring and investigating customer transactions under applicable anti-money laundering and anti-terrorist financing laws....

[3] Score: 24.002
    Team Lead AML Analyst. 1  Promoted to team leader responsible for training new AML hires on complying with company’s due diligence procedures and regulatory mandates. 2  Initiated, processed, closed, ...

[4] Score: 23.370
    The BSA/AML Analyst II is responsible for assisting with anti-money laundering and compliance initiatives. Three (3) to five (5) years of BSA related experience is required. southeastapply.com...

[5] Score: 23.320
    Be the first to see new Aml Surveillance Analyst jobs My email: Also get an email with jobs recommended just for me Anti Money Laundering Analyst salaries in United States...","8106321,4314176,8106320,4314174,8106324"
962179,when was the salvation army founded,6,factoid,PRF-Hurt,0.328125,Moderate-Hurt,0.021723819565223148,True,0.2374395278260893,"[1] Score: 28.268
    The Salvation Army was founded in London's East End in 1865 by one-time Methodist Reform Church minister William Booth and his wife Catherine. Originally, Booth named the organisation the East London ...

[2] Score: 27.518
    History. The Salvation Army began in 1865 when William Booth, a London minister, gave up the comfort of his pulpit and decided to take his message into the streets where it would reach the poor, the h...

[3] Score: 27.132
    The history of the Salvation Army began in 1865, when William Booth established an evangelical and philanthropic organisation to preach salvation from sins and propagate purity of life among the poor ...

[4] Score: 26.887
    The Salvation Army began its work in Canada in 1882, just fifteen years after Confederation, and quickly began giving hope to those in need in this country and around the world. The first open-air ‘me...

[5] Score: 26.750
    Since The Salvation Army was born on the streets of the East End of London in 1865, we have gone from strength to strength – carrying on the commitment of our founders to serve God and to serve suffer...","5653659,2329699,8785371,2978869,4606386"
1063750,why did the us volunterilay enter ww1,7,factoid,PRF-Hurt,0.2307692307692307,Strong-Hurt,0.021723819565223148,True,0.23638183551839698,"[1] Score: 16.200
    The US entered WWI because of M.A.I.N. ' 1 M'ilitarism-Being strong enough to protect the citizens of the country. ' 2 A'lliance System-Helping out the alliances when and where needed. ' 3 I'mperialis...

[2] Score: 15.999
    The main event that led the US to entering ww2 was Japan bombing  Pearl Harbor. The day after the bombing u.s. joined the war   On December 7, 1941, the Japanese Navy lau … nched a surprise attack  on...

[3] Score: 15.948
    The 4 reasons that the US entered WWI:    1. The Sinking of the Lusitania   2. German U-Boats sinking US cruise ships and cargo ships   3. The Zimmerman Telegra … m   4. The Russian Revolution   As an...

[4] Score: 15.882
    The Veterans of Foreign Wars (VFW) A congressionally chartered organization of war veterans founded in 1899. Headquartered in Kansas City, Missouri, has 1.5 million members with over 7500 posts. It is...

[5] Score: 15.728
    why didn’t the United States enter the war earlier? what events pushed the United States to enter the war? why did the United States enter on the side of the Allies?eport Abuse. Because the Isolationi...","1923500,1300452,4337532,8438480,7778351"
19335,anthropological definition of environment,4,definition,PRF-Benefit,0.6181818181818182,Moderate-Benefit,0.06190225084798493,False,0.23203362761192128,"[1] Score: 26.534
    Definition of environment - the surroundings or conditions in which a person, animal, or plant lives or operates, the natural world, as a whole or in a partic Definition of environment - the surroundi...

[2] Score: 26.396
    Definition of environment: The sum total of all surroundings of a living organism, including natural forces and other living things, which provide conditions for development and growth as well as of d...

[3] Score: 26.293
    1 Meaning of environment. Environment means everything around to a living being. Especially the circumstances of life of people or society in their life conditions. It comprises the set of natural, so...

[4] Score: 26.290
    Definition of Environment. Environment: The sum of the total of the elements, factors and conditions in the surroundings which may have an impact on the development, action or survival of an organism ...

[5] Score: 26.244
    Definition of Environment. Environment: The sum of the total of the elements, factors and conditions in the surroundings which may have an impact on the development, action or survival of an organism ...","2304005,772234,6512137,1720395,1720389"
