qid,prompt_name,top_k,model,sc_label,sc_confidence,score,n_benefit,n_hurt,n_unknown
19335,comparative,3,Qwen3-8B,Benefit,1.0,1.0,1,0,4
19335,comparative,5,Qwen3-8B,Benefit,1.0,1.0,1,0,4
19335,comparative,10,Qwen3-8B,Benefit,1.0,1.0,1,0,4
19335,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
19335,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
19335,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
47923,comparative,3,Qwen3-8B,Benefit,1.0,1.0,4,0,1
47923,comparative,5,Qwen3-8B,Benefit,1.0,1.0,4,0,1
47923,comparative,10,Qwen3-8B,Benefit,1.0,1.0,3,0,2
47923,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
47923,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
47923,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
87181,comparative,3,Qwen3-8B,Benefit,1.0,1.0,4,0,1
87181,comparative,5,Qwen3-8B,Benefit,1.0,1.0,2,0,3
87181,comparative,10,Qwen3-8B,Benefit,1.0,1.0,1,0,4
87181,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
87181,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
87181,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
87452,comparative,3,Qwen3-8B,Unknown,0.0,1.0,0,0,5
87452,comparative,5,Qwen3-8B,Benefit,1.0,1.0,1,0,4
87452,comparative,10,Qwen3-8B,Benefit,1.0,1.0,2,0,3
87452,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
87452,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
87452,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
104861,comparative,3,Qwen3-8B,Unknown,0.0,1.0,0,0,5
104861,comparative,5,Qwen3-8B,Unknown,0.0,1.0,0,0,5
104861,comparative,10,Qwen3-8B,Benefit,1.0,1.0,2,0,3
104861,coverage,3,Qwen3-8B,Benefit,1.0,1.0,5,0,0
104861,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
104861,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
130510,comparative,3,Qwen3-8B,Benefit,1.0,1.0,5,0,0
130510,comparative,5,Qwen3-8B,Benefit,1.0,1.0,4,0,1
130510,comparative,10,Qwen3-8B,Benefit,1.0,1.0,5,0,0
130510,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
130510,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
130510,coverage,10,Qwen3-8B,Hurt,1.0,0.0,0,5,0
131843,comparative,3,Qwen3-8B,Benefit,1.0,1.0,3,0,2
131843,comparative,5,Qwen3-8B,Benefit,1.0,1.0,3,0,2
131843,comparative,10,Qwen3-8B,Benefit,1.0,1.0,1,0,4
131843,coverage,3,Qwen3-8B,Hurt,1.0,0.0,0,5,0
131843,coverage,5,Qwen3-8B,Hurt,1.0,0.0,0,5,0
